user,video_id,s1,s2,s3,s4,avg
user_001,192_1,4,5,5,3,4.25
user_001,453_2,3,5,5,3,4
user_001,67_2,3,4,4,2,3.25
user_001,381_1,3,3,3,3,3
user_001,184_1,2,4,1,4,2.75
user_001,158_1,4,2,3,1,2.5
user_001,378_2,3,4,5,1,3.25
user_001,152_3,5,5,5,5,5
user_001,370_3,5,4,5,4,4.5
user_001,228_3,5,5,3,2,3.75
user_001,188_1,3,4,3,3,3.25
user_001,439_1,4,4,2,3,3.25
user_001,165_3,4,3,4,2,3.25
user_001,322_2,3,3,4,2,3
user_001,5_2,3,4,5,2,3.5
user_001,224_3,5,3,5,3,4
user_001,158_2,3,2,1,1,1.75
user_001,211_3,5,5,5,5,5
user_001,406_2,2,2,5,1,2.5
user_001,130_3,3,4,5,4,4
user_001,229_2,3,4,5,2,3.5
user_001,202_1,4,4,4,2,3.5
user_001,242_1,3,2,3,3,2.75
user_001,169_2,4,3,4,1,3
user_001,64_1,3,3,5,3,3.5
user_001,187_2,5,4,3,2,3.5
user_001,157_3,5,5,5,5,5
user_001,362_1,4,5,5,2,4
user_001,149_2,2,4,4,1,2.75
user_001,50_2,3,5,3,4,3.75
user_001,199_2,2,2,5,1,2.5
user_001,461_1,4,2,4,2,3
user_001,155_3,2,3,4,3,3
user_001,181_2,3,3,5,2,3.25
user_001,453_1,4,4,4,5,4.25
user_001,11_2,3,4,4,2,3.25
user_001,262_1,4,4,5,2,3.75
user_001,406_1,4,3,4,3,3.5
user_001,67_1,4,4,4,3,3.75
user_001,361_2,4,4,3,3,3.5
user_001,58_1,2,4,5,5,4
user_001,413_1,4,3,5,2,3.5
user_001,243_2,5,3,1,2,2.75
user_001,369_3,4,4,5,2,3.75
user_001,235_1,3,4,4,3,3.5
user_001,9_1,4,3,1,3,2.75
user_001,171_3,5,3,5,2,3.75
user_001,134_2,4,3,2,2,2.75
user_001,72_2,4,4,2,4,3.5
user_001,66_2,4,3,4,2,3.25
user_001,300_2,4,4,3,5,4
user_001,182_1,3,3,4,2,3
user_001,500_2,2,3,4,3,3
user_001,435_3,5,5,4,3,4.25
user_001,6_2,4,2,4,1,2.75
user_001,54_3,5,5,5,5,5
user_001,164_3,5,4,4,5,4.5
user_001,463_3,4,4,4,5,4.25
user_001,191_2,2,4,2,1,2.25
user_001,419_2,4,3,5,1,3.25
user_001,46_3,5,5,5,2,4.25
user_001,446_1,2,3,3,1,2.25
user_001,480_3,5,5,5,5,5
user_001,500_1,4,5,5,2,4
user_001,218_3,5,5,4,5,4.75
user_001,248_1,4,4,3,2,3.25
user_001,286_2,4,5,2,5,4
user_001,228_1,3,5,4,4,4
user_001,174_2,4,4,4,4,4
user_001,91_2,3,4,5,4,4
user_001,163_3,4,3,5,3,3.75
user_001,92_1,3,3,5,3,3.5
user_001,321_3,5,5,5,5,5
user_001,334_3,3,5,5,4,4.25
user_001,279_3,4,5,4,2,3.75
user_001,370_2,3,4,3,2,3
user_001,390_2,4,3,4,2,3.25
user_001,327_3,5,3,5,2,3.75
user_001,318_2,4,4,4,4,4
user_001,299_2,3,4,5,3,3.75
user_001,171_2,2,3,2,1,2
user_001,494_2,4,4,5,4,4.25
user_001,473_2,3,4,2,5,3.5
user_001,387_1,2,4,3,2,2.75
user_001,436_2,2,4,3,4,3.25
user_001,19_2,2,3,5,3,3.25
user_001,8_2,3,4,4,2,3.25
user_001,212_3,4,4,4,4,4
user_001,418_2,2,2,4,2,2.5
user_001,459_2,5,4,3,5,4.25
user_001,398_1,4,4,5,1,3.5
user_001,276_1,3,3,2,4,3
user_001,8_3,2,3,4,4,3.25
user_001,71_1,2,3,5,2,3
user_001,142_3,4,5,4,5,4.5
user_001,351_2,4,4,3,3,3.5
user_001,214_2,3,3,5,2,3.25
user_001,69_3,3,5,5,4,4.25
user_001,94_2,2,5,3,4,3.5
user_001,404_3,5,4,3,3,3.75
user_001,266_2,2,3,4,2,2.75
user_001,60_3,4,4,5,4,4.25
user_001,217_1,4,4,3,3,3.5
user_001,51_1,3,5,3,4,3.75
user_001,382_2,1,2,3,1,1.75
user_001,73_3,5,5,5,5,5
user_001,272_1,3,5,4,4,4
user_001,42_3,5,5,5,5,5
user_001,54_2,4,4,5,3,4
user_001,398_3,5,4,5,2,4
user_001,73_2,2,4,5,1,3
user_001,140_3,5,5,5,4,4.75
user_001,93_3,4,5,5,4,4.5
user_001,176_3,4,5,4,3,4
user_001,416_3,4,4,5,1,3.5
user_001,216_3,4,4,5,4,4.25
user_001,464_2,4,5,4,3,4
user_001,400_2,3,4,5,2,3.5
user_001,229_3,5,5,5,5,5
user_001,252_3,5,5,5,2,4.25
user_001,392_1,3,3,5,2,3.25
user_001,178_3,5,5,4,4,4.5
user_001,294_1,2,2,2,2,2
user_001,18_1,1,2,2,1,1.5
user_001,444_3,5,5,5,5,5
user_001,68_1,4,5,4,3,4
user_001,52_2,3,4,5,4,4
user_001,384_3,5,5,5,5,5
user_001,232_2,4,4,5,2,3.75
user_001,41_1,3,3,5,2,3.25
user_001,330_2,2,2,2,3,2.25
user_001,478_1,4,4,5,2,3.75
user_001,401_2,2,4,5,2,3.25
user_001,25_2,3,4,4,1,3
user_001,93_1,3,3,5,4,3.75
user_001,17_1,3,5,5,4,4.25
user_001,358_2,5,4,5,3,4.25
user_001,390_3,5,3,5,3,4
user_001,210_3,5,3,4,3,3.75
user_001,75_3,5,5,5,5,5
user_001,271_1,3,3,1,2,2.25
user_001,290_3,5,5,5,5,5
user_001,389_1,3,3,2,2,2.5
user_001,250_3,5,4,4,3,4
user_001,22_3,5,5,5,5,5
user_001,325_2,3,4,5,3,3.75
user_001,107_2,4,5,4,4,4.25
user_001,349_2,3,2,4,2,2.75
user_001,316_3,4,3,5,5,4.25
user_001,246_3,4,5,5,5,4.75